Número de Orden,RUT,Nombre cliente,Dirección cliente,Fecha de Pedido,Fecha de despacho Solicitada,Monto Pedido,direccion_normalizada,formatted,node_id,lat_final,lon_final,volumen_total_pedido_m3,peso_total_pedido_kg,n_lineas_detalle,estado,calidad_match,tipo,tiene_coords_finales,tiene_node_id,tiene_detalle,node_id_deposito,lat_deposito,lon_deposito,direccion_deposito
ORD-CL-202612-000001,14512240-4,Cliente Nuevo 14512240,AV. MATTA 5370 DEPTO 994 ESTACIÓN CENTRAL SANTIAGO CHILE,2026-12-01,2026-12-02,123929,Av. Matta 5370,"Avenida Manuel Antonio Matta 5370, 832 0000 Santiago, Chile",717,-33.45799120274538,-70.64211682398948,1.260186,188.366,25,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000002,17.313.403-1,Cliente 17313403,"Av. La Florida 7678, Macul, Santiago, Chile",2026-12-01,2026-12-03,118942,Av. La Florida 7678,"Avenida La Florida 7678, 832 0000 Santiago, Chile",418,-33.5223756,-70.5788854,4.239399,505.552,20,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000003,7941056 - 6,Cliente Nuevo 7941056,"av. kennedy 5315, depto 694, independencia, santiago, chile",2026-12-01,2026-12-04,115798,Av. Kennedy 5315,"Avenida Presidente Kennedy 5315, 763 0000 Santiago, Chile",340,-33.4008463,-70.5787572,1.898356,236.554,14,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000004,18.305.966-9,Cliente 18305966,"Calle San Antonio 8832, Lo Prado, Santiago, Chile",2026-12-01,2026-12-03,240273,Calle San Antonio 8832,"San Antonio 8832, 832 0000 Santiago, Chile",2003,-33.43487534738776,-70.64887247008978,2.5140629999999997,317.365,21,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000005,20.329.309-9,Cliente Nuevo 20329309,Calle Catedral 6899 Depto 1132 Independencia Santiago Chile,2026-12-01,2026-12-04,230875,Calle Catedral 6899,"Catedral 6899, 832 0000 Santiago, Chile",1619,-33.438738201983064,-70.66443720992424,1.1887210000000001,245.26399999999998,21,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000006,20.741.726-2,Cliente Nuevo 20741726,"Calle Catedral 9181, Depto 1288, Puente Alto, Santiago, Chile",2026-12-01,2026-12-03,125517,Calle Catedral 9181,"Catedral 9181, 832 0000 Santiago, Chile",1630,-33.438738201983064,-70.66443720992424,0.63953,113.683,11,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000007,17.709.152-5,Cliente Nuevo 17709152,Calle Estado 5634 DEPTO 1612 Estación Central Stgo Chile,2026-12-01,2026-12-04,154260,Calle Estado 5634,"Estado 5634, 832 0000 Santiago, Chile",1724,-33.43949515564987,-70.64953513821996,2.4048499999999997,295.653,21,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000008,8.336.332-0,Cliente Nuevo 8336332,"Av. Manuel Montt 685, Depto 2500, Recoleta, Santiago, Chile",2026-12-01,2026-12-04,291166,Av. Manuel Montt 685,"Avenida Manuel Montt 685, 750 0000 Providencia, Chile",619,-33.43437371428571,-70.61696167142857,0.451168,68.827,6,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000009,8823811 - 3,Cliente 8823811,Av. Kennedy 7331 Depto 197 Independencia Santiago Chile,2026-12-01,2026-12-03,187109,Av. Kennedy 7331,"Avenida Presidente Kennedy 7331, 763 0000 Santiago, Chile",359,-33.3938224,-70.5593847,2.218962,256.803,15,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
ORD-CL-202612-000010,6.283.572-5,Cliente 6283572,"Avenida Américo Vespucio 2389, Independencia, Santiago, Chile",2026-12-01,2026-12-03,192370,Avenida Américo Vespucio 2389,"Avenida Américo Vespucio 2389, 832 0000 Santiago, Chile",1180,-33.476078076363635,-70.57821195272727,0.894081,164.668,13,ok,buena,cliente,True,True,True,0,-33.42748443128771,-70.68728138816309,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile"
