Número de Orden,Fecha de despacho Solicitada,Monto Pedido,direccion_normalizada,node_id,lat_final,lon_final,volumen_total_pedido_m3,peso_total_pedido_kg,node_id_deposito,lat_deposito,lon_deposito
ORD-CL-202612-000001,2026-12-02,123929,Av. Matta 5370,717,-33.45799120274538,-70.64211682398948,1.260186,188.366,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000002,2026-12-03,118942,Av. La Florida 7678,418,-33.5223756,-70.5788854,4.239399,505.552,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000003,2026-12-04,115798,Av. Kennedy 5315,340,-33.4008463,-70.5787572,1.898356,236.554,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000004,2026-12-03,240273,Calle San Antonio 8832,2003,-33.43487534738776,-70.64887247008978,2.514063,317.365,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000005,2026-12-04,230875,Calle Catedral 6899,1619,-33.438738201983064,-70.66443720992424,1.188721,245.264,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000006,2026-12-03,125517,Calle Catedral 9181,1630,-33.438738201983064,-70.66443720992424,0.63953,113.683,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000007,2026-12-04,154260,Calle Estado 5634,1724,-33.43949515564987,-70.64953513821996,2.40485,295.653,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000008,2026-12-04,291166,Av. Manuel Montt 685,619,-33.43437371428571,-70.61696167142857,0.451168,68.827,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000009,2026-12-03,187109,Av. Kennedy 7331,359,-33.3938224,-70.5593847,2.218962,256.803,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000010,2026-12-03,192370,Avenida Américo Vespucio 2389,1180,-33.476078076363635,-70.57821195272727,0.894081,164.668,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000011,2026-12-03,140619,Av. Pajaritos 5435,780,-33.473179228571425,-70.7378717755102,4.252727,550.225,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000012,2026-12-04,69556,Av. Grecia 5499,172,-33.46821033574976,-70.57937655427114,0.223935,41.049,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000013,2026-12-03,131893,Av. Manuel Montt 401,596,-33.432091364,-70.618345204,0.262568,34.506,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000014,2026-12-04,79764,Calle San Antonio 9747,2013,-33.43487534738776,-70.64887247008978,0.393231,73.385,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000015,2026-12-03,229269,Calle Morandé 6751,1939,-33.43452185756808,-70.65443829443069,0.266406,74.433,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000016,2026-12-06,267477,Av. Apoquindo 2937,62,-33.4157335,-70.5911617,0.247166,41.795,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000017,2026-12-03,84124,Av. Matta 4672,712,-33.45799120274538,-70.64211682398948,0.022742,6.409000000000001,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000018,2026-12-04,90367,Calle Santo Domingo 6604,2106,-33.438971360737774,-70.68787532598256,0.4251399999999999,69.952,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000019,2026-12-03,180085,Av. Tobalaba 3402,1034,-33.4315625,-70.5848894,2.163363,238.139,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000020,2026-12-03,226689,Av. Manuel Montt 3031,594,-33.450409379191655,-70.61310094459272,3.905493,441.534,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000021,2026-12-03,183858,Av. Apoquindo 4280,69,-33.4146429,-70.5862581,0.4828319999999999,56.571,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000022,2026-12-03,124770,Av. Pajaritos 7516,795,-33.488076083068606,-70.75138480605311,0.929949,130.326,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000023,2026-12-04,92650,Calle Bandera 7800,1572,-33.44046393300847,-70.65220603930719,0.599434,76.389,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000024,2026-12-03,58647,Av. Apoquindo 5706,75,-33.4096712,-70.5703756,0.16881,34.907,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000025,2026-12-03,255160,Calle Teatinos 6266,2166,-33.436656955578805,-70.65568127045138,1.343641,132.448,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000026,2026-12-03,174809,Calle San Antonio 1509,1960,-33.4302699,-70.7676359,1.731742,205.491,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000027,2026-12-03,137864,Calle Compañía de Jesús 5241,1661,-33.439644149230105,-70.66251983715254,1.718718,278.701,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000028,2026-12-05,118119,Av. Irarrázaval 9906,312,-33.45211752135792,-70.62996532946244,0.737742,149.152,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000029,2026-12-04,161307,Calle Compañía de Jesús 7303,1670,-33.439644149230105,-70.66251983715254,1.487933,171.365,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000030,2026-12-04,229074,Av. Vicuña Mackenna 154,1081,-33.44289517142857,-70.63342082571428,0.4188199999999999,58.504,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000031,2026-12-03,170357,Av. La Florida 1002,380,-33.519235429031845,-70.58115079491817,2.785992,391.82,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000032,2026-12-03,124759,Gran Avenida José Miguel Carrera 1084,2205,-33.5575823,-70.6779859,2.21725,261.691,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000033,2026-12-02,99454,Av. Providencia 1687,859,-33.42649830229008,-70.61543438396947,0.283872,44.655,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000034,2026-12-04,255441,Avenida Matta 7432,1326,-33.45799120274538,-70.64211682398948,0.641751,74.702,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000035,2026-12-04,259234,Av. Kennedy 5660,345,-33.399406,-70.5752294,0.0901,15.056,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000036,2026-12-04,329568,Calle Merced 8895,1847,-33.43731790255185,-70.64174538474282,2.221654,274.983,0,-33.42748443128771,-70.68728138816309
ORD-CL-202612-000037,2026-12-04,51456,Calle Amunátegui 5971,1447,-33.41625625370045,-70.66756956491413,1.918602,310.168,0,-33.42748443128771,-70.68728138816309
