node_id,direccion_original,direccion_normalizada,RUT,Nombre cliente,Dirección cliente,Fecha de Pedido,Número de Orden,Monto Pedido,Fecha de despacho Solicitada,direccion_limpia_base,calle,numero,query_geocoding,encontrada,formatted,lat,lon,estado,calidad_match
0,Av. Américo Vespucio 118,AV. AMÉRICO VESPUCIO 118,14799664-5,Cliente 14799664,"Av. Américo Vespucio 118, DEPTO 34, Independencia, Stgo, Chile",2026-12-11,ORD-CL-202612-001385,84431,2026-12-14,Av. Américo Vespucio 118,Av. Américo Vespucio,118,"Av. Américo Vespucio 118, Santiago, Chile",True,"Avenida Américo Vespucio 118, 832 0000 Santiago, Chile",-33.48670313065888,-70.75193413844674,ok,buena
0,Av. Américo Vespucio 118,AV. AMÉRICO VESPUCIO 118,14.799.664-5,Cliente 14799664,"Av. Américo Vespucio 118, Depto 34, Independencia, Santiago, Chile",2026-12-19,ORD-CL-202612-002600,161826,2026-12-20,Av. Américo Vespucio 118,Av. Américo Vespucio,118,"Av. Américo Vespucio 118, Santiago, Chile",True,"Avenida Américo Vespucio 118, 832 0000 Santiago, Chile",-33.48670313065888,-70.75193413844674,ok,buena
1,Av. Américo Vespucio 1280,AV. AMÉRICO VESPUCIO 1280,13.011.364-4,Cliente Nuevo 13011364,"Av. Américo Vespucio 1280, Depto 738, Puente Alto, Santiago, Chile",2026-12-05,ORD-CL-202612-000595,284364,2026-12-07,Av. Américo Vespucio 1280,Av. Américo Vespucio,1280,"Av. Américo Vespucio 1280, Santiago, Chile",True,"Avenida Américo Vespucio 1280, 832 0000 Santiago, Chile",-33.53273486046511,-70.68005871627906,ok,buena
1,Av. Américo Vespucio 1280,AV. AMÉRICO VESPUCIO 1280,13011364-4,Cliente Nuevo 13011364,Av. Américo Vespucio 1280 Depto 738 Puente Alto Santiago Chile,2026-12-06,ORD-CL-202612-000662,176761,2026-12-10,Av. Américo Vespucio 1280,Av. Américo Vespucio,1280,"Av. Américo Vespucio 1280, Santiago, Chile",True,"Avenida Américo Vespucio 1280, 832 0000 Santiago, Chile",-33.53273486046511,-70.68005871627906,ok,buena
2,Av. Américo Vespucio 1323,AV. AMÉRICO VESPUCIO 1323,5.930.869-0,Cliente Nuevo 5930869,"Av. Américo Vespucio 1323, Vitacura, Santiago de Chile",2026-12-22,ORD-CL-202612-002938,272683,2026-12-26,Av. Américo Vespucio 1323 Vitacura Santiago de,Av. Américo Vespucio,1323,"Av. Américo Vespucio 1323, Santiago, Chile",True,"Avenida Américo Vespucio 1323, 924 0242 Cerrillos, Chile",-33.50218175714286,-70.74121781428572,ok,buena
2,Av. Américo Vespucio 1323,AV. AMÉRICO VESPUCIO 1323,5.930.869-0,Cliente Nuevo 5930869,av. américo vespucio 1323 vitacura santiago chile,2026-12-28,ORD-CL-202612-003764,140024,2026-12-29,Av. américo vespucio 1323,Av. Américo Vespucio,1323,"Av. Américo Vespucio 1323, Santiago, Chile",True,"Avenida Américo Vespucio 1323, 924 0242 Cerrillos, Chile",-33.50218175714286,-70.74121781428572,ok,buena
2,Av. Américo Vespucio 1323,AV. AMÉRICO VESPUCIO 1323,5.930.869-0,Cliente Nuevo 5930869,"Av. Américo Vespucio 1323, Vitacura, Santiago, Chile",2026-12-29,ORD-CL-202612-003853,106413,2027-01-02,Av. Américo Vespucio 1323,Av. Américo Vespucio,1323,"Av. Américo Vespucio 1323, Santiago, Chile",True,"Avenida Américo Vespucio 1323, 924 0242 Cerrillos, Chile",-33.50218175714286,-70.74121781428572,ok,buena
3,Av. Américo Vespucio 136,AV. AMÉRICO VESPUCIO 136,13.388.530-8,Cliente Nuevo 13388530,Av. Américo Vespucio 136 San Miguel Santiago de Chile,2026-12-20,ORD-CL-202612-002702,217976,2026-12-24,Av. Américo Vespucio 136 San Miguel Santiago de,Av. Américo Vespucio,136,"Av. Américo Vespucio 136, Santiago, Chile",True,"Avenida Américo Vespucio 136, 832 0000 Santiago, Chile",-33.48655105825188,-70.75190483304881,ok,buena
3,Av. Américo Vespucio 136,AV. AMÉRICO VESPUCIO 136,13.388.530 - 8,Cliente Nuevo 13388530,"AV. AMÉRICO VESPUCIO 136, SAN MIGUEL, SANTIAGO, CHILE",2026-12-25,ORD-CL-202612-003272,121728,2026-12-29,Av. AMÉRICO VESPUCIO 136,Av. Américo Vespucio,136,"Av. Américo Vespucio 136, Santiago, Chile",True,"Avenida Américo Vespucio 136, 832 0000 Santiago, Chile",-33.48655105825188,-70.75190483304881,ok,buena
4,Av. Américo Vespucio 1428,AV. AMÉRICO VESPUCIO 1428,16845963-0,Cliente 16845963,"Av. Américo Vespucio 1428, Providencia, Santiago, Chile",2026-12-31,ORD-CL-202612-004139,141001,2027-01-04,Av. Américo Vespucio 1428,Av. Américo Vespucio,1428,"Av. Américo Vespucio 1428, Santiago, Chile",True,"Avenida Américo Vespucio 1428, 832 0000 Santiago, Chile",-33.46628361250001,-70.57492535,ok,buena
